county,lonmin,latmin,lonmax,latmax
Alpine,-120.073331,38.32688,-119.542332,38.933324
Amador,-121.02771,38.217951,-120.072333,38.709029
Butte,-122.069431,39.295621,-121.076695,40.152024
Calaveras,-120.9955,37.831858,-120.019951,38.509869
Colusa,-122.78509,38.92384,-121.795318,39.414593
Contra Costa,-122.441584,37.718531,-121.534102,38.099878
Del Norte,-124.440707,41.380776,-123.517911,42.000787
El Dorado,-121.141595,38.502349,-119.877248,39.067489
Fresno,-120.918731,35.906914,-118.360586,37.585837
Glenn,-122.938413,39.382946,-121.856381,39.800561
Humboldt,-124.482003,40.001248,-123.40604,41.465846
Imperial,-116.106272,32.61848,-114.46289,33.433814
Inyo,-118.790031,35.786579,-115.648357,37.465238
Kern,-120.194369,34.788655,-117.616517,35.798392
Kings,-120.315068,35.78858,-119.474354,36.488962
Lake,-123.094216,38.667506,-122.340172,39.5814
Lassen,-121.332338,39.707658,-119.995598,41.184514
Los Angeles,-118.951721,32.75004,-117.646374,34.823302
Madera,-120.545536,36.763047,-119.022363,37.777986
Marin,-123.134523,37.815102,-122.347454,38.321227
Mariposa,-120.395441,37.183108,-119.307284,37.904122
Mendocino,-124.134889,38.758119,-122.821355,40.00247
Merced,-121.248647,36.740381,-120.052055,37.633364
Modoc,-121.457213,41.183484,-119.998287,41.997465
Mono,-119.651509,37.462588,-117.832726,38.713212
Monterey,-122.051878,35.788977,-120.213979,36.919683
Napa,-122.646421,38.154933,-122.061379,38.864245
Nevada,-121.279784,39.00516,-120.003773,39.52692
Orange,-118.147806,33.333992,-117.412987,33.947636
Placer,-121.484442,38.711395,-120.002461,39.316496
Plumas,-121.49788,39.597264,-120.099339,40.449715
Riverside,-117.676684,33.425888,-114.434949,34.079884
Sacramento,-121.862622,38.018421,-121.027084,38.736405
San Benito,-121.644001,36.196848,-120.596562,36.988944
San Bernardino,-117.802539,33.87089,-114.131211,35.809236
San Diego,-117.611081,32.528832,-116.08094,33.505025
San Francisco,-123.173825,37.63983,-122.28178,37.929824
San Joaquin,-121.585078,37.481783,-120.917007,38.300252
San Luis Obispo,-121.438176,34.897475,-119.472489,35.796655
San Mateo,-122.588177,37.053858,-122.081473,37.708617
Santa Barbara,-120.734382,33.411024,-118.962728,35.114678
Santa Clara,-122.202653,36.892976,-121.208178,37.484637
Santa Cruz,-122.317682,36.8196,-121.581154,37.286055
Shasta,-123.068838,40.285375,-121.319976,41.184978
Sierra,-121.058203,39.391558,-120.00082,39.776877
Siskiyou,-123.719174,40.992193,-121.445994,42.009503
Solano,-122.40697,38.031721,-121.593273,38.53905
Sonoma,-123.632497,38.07326,-122.347454,38.852916
Stanislaus,-121.486775,37.134774,-120.387329,38.077421
Sutter,-121.948294,38.734598,-121.414375,39.305668
Tehama,-123.066009,39.797385,-121.342264,40.453133
Trinity,-123.623891,39.977015,-122.445453,41.368139
Tulare,-119.573194,35.788935,-117.980761,36.744816
Tuolumne,-120.653274,37.633704,-119.196182,38.433521
Ventura,-119.636302,33.163493,-118.632494,34.901171
Yolo,-122.422048,38.313048,-121.501017,38.92593
Yuba,-121.636368,38.918348,-121.009477,39.639459
